캠핑장명,운영기관,관리기관,업종,주소,주요시설,화장실(개),샤워실(개),반려동물_동반여부,전화번호,예약페이지,대표사진,데크사이트,파쇄석사이트,카라반사이트,시도,시군구,경도,위도
(에드203) 플라네캠핑장,민간,직영,자동차야영장,경기 연천군 전곡읍 양원로268번길 81,"전기,무선인터넷,장작판매,온수,산책로",2,2,가능,0507-1374-0679,https://instargram.com/flaner_camp,https://gocamping.or.kr/upload/camp/102032/thumb/thumb_720_2523jo4flSPg1brGN16FLTJ7.jpg,16,1,0,경기도,연천군,127.029586682648,37.9697010052932
(유)금강 두승산 글램핑,민간,직영,일반야영장,전북특별자치도 정읍시 고부면 만수리 410-10,"전기,무선인터넷,온수,물놀이장,운동시설",0,0,가능(소형견),063-536-4441,,https://gocamping.or.kr/upload/camp/7786/thumb/thumb_720_82271XP6MSvWUgTWh0GSwh6G.jpg,0,0,0,전북특별자치도,정읍시,126.79598092968115,35.59319093606362
(주)구들택 겨울숲 지점,민간,직영,일반야영장,경기 가평군 설악면 봉미산안길13번길 176-51,"전기,무선인터넷,장작판매,온수,운동시설",0,0,가능(소형견),,,https://gocamping.or.kr/upload/camp/100516/thumb/thumb_720_6601p12UI7potQeTbGUQ3nj0.jpg,38,2,0,경기도,가평군,127.5361730,37.6301797
(주)궁평해윰캠핑장,민간,직영,일반야영장,경기도 화성시 만세구 서신면 궁평항로 1069-11,,0,0,,031-356-7339,,,0,0,0,경기도,화성시,126.683373295018,37.1161625656144
(주)너의아지트가되어줄게,민간,직영,"일반야영장,글램핑",경기 가평군 설악면 묵안로 746-20,"전기,무선인터넷,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점",0,0,가능(소형견),,,https://gocamping.or.kr/upload/camp/101036/thumb/thumb_720_6618I1huIvaRiHXsusKeilc5.jpg,0,0,0,경기도,가평군,127.5184552,37.6170972
(주)더그린포천 농업회사법인(민트글램핑),민간,직영,"일반야영장,글램핑",경기 포천시 이동면 금강로 5846,"전기,무선인터넷,장작판매,온수",30,30,불가능,031-535-1100,www.mintcamping.com,https://gocamping.or.kr/upload/camp/100071/thumb/thumb_720_6222bzJtfprpnsdD6xOdlUzs.jpg,0,0,0,경기도,포천시,127.374921601412,38.0531116819684
(주)더술컴퍼니아카데미,민간,직영,일반야영장,서울 종로구 창경궁로 229 (명륜4가),,0,0,불가능,,,,0,0,0,서울특별시,종로구,126.997903949684,37.5825286498039
(주)더캠핑야미,민간,직영,일반야영장,경기도 용인시 처인구 남사읍 전궁로95번길 89,,0,0,불가능,,https://naver.me/G7DP2pSH,https://gocamping.or.kr/upload/camp/100916/thumb/thumb_720_25197zKR1YxdkiQapNqGmGC9.jpg,0,0,0,경기도,용인시,127.143278675759,37.1080458872775
(주)드윌레저캠프 양촌지점,민간,직영,자동차야영장,경상남도 창원시 마산합포구 진전면 일암1길 74,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,산책로,운동장,마트.편의점",10,16,불가능,055-271-8111,https://www.theharucamp.co.kr/22,https://gocamping.or.kr/upload/camp/8028/thumb/thumb_720_6340HueWkkgM1kzDTgzn4rao.jpg,0,0,0,경상남도,창원시,128.378556625252,35.1252246246295
(주)러블레싱(LOVEBLEESING INC),민간,직영,일반야영장,전남광주통합특별시 순천시 땅고개길 156 (와룡동),"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,마트.편의점",0,0,가능(소형견),010-9901-4260,https://www.camfit.co.kr/camp/662b5435de2832001e007c28,https://gocamping.or.kr/upload/camp/101359/thumb/thumb_720_6405Out6Suanr1eVYCKszyR4.jpg,0,0,0,전남광주통합특별시,순천시,127.463353020838,34.9429815985527
(주)밀모빨강치마,민간,직영,일반야영장,전라북도 무주군 적상면 밀모길 79-30,"전기,무선인터넷,장작판매,온수,산책로,운동장,운동시설,마트.편의점",1,1,불가능,063-322-7000,http://milmo.co.kr/reserve/step01.php?loc=오토캠핑,https://gocamping.or.kr/upload/camp/6942/thumb/thumb_720_98337g7g1lw1Z1wc4t13WEtp.jpg,0,0,0,전라북도,무주군,127.670717321788,35.930249266536
(주)밀모빨강치마자동차야영장,민간,직영,"자동차야영장,카라반,글램핑",전북특별자치도 무주군 적상면 밀모길 79-14,"전기,온수,물놀이장,놀이터,마트.편의점",2,2,불가능,063-322-7000,,,50,0,0,전라북도,무주군,127.66960164037,35.9324114046524
(주)바베큐팩토리,민간,직영,일반야영장,충청남도 당진시 석문면 새터말길 43-9,,0,0,,,,,0,0,0,충청남도,당진시,126.528660264368,37.0389117415716
(주)세기(도그팰리스),민간,직영,일반야영장,충청남도 당진시 고대면 탕주막길 114,,0,0,,010-3533-5292,https://www.dogpalace.kr/index.php/booking/,https://gocamping.or.kr/upload/camp/100464/thumb/thumb_720_33104csvDChBO86DeGMGo0kw.jpeg,0,0,0,충청남도,당진시,126.542536312459,36.9751610497589
